,year,importer,supply_concentration
116,1992,TTO,0.7594132670924889
117,1992,TUN,0.15492146272765783
118,1992,TUR,0.1843440480106782
119,1992,USA,0.16981285409636307
120,1992,ZA1,0.11894165743035441
121,1993,ARG,0.2265496001286055
122,1993,AUS,0.1450894615591557
123,1993,BDI,0.8736210517533134
124,1993,BGD,0.30187826767356934
125,1993,BLZ,0.7797309566525195
126,1993,BOL,0.41587014468152
127,1993,BRA,0.24911410337295345
128,1993,BRN,0.16778563540325248
129,1993,BTN,1.0
130,1993,CAF,0.48814920241579896
131,1993,CAN,0.26707560615879405
132,1993,CHE,0.1873966490744648
133,1993,CHL,0.24201946885668454
134,1993,CHN,0.33834628820693047
135,1993,COG,0.4442200709929252
136,1993,COL,0.18925015267142267
137,1993,CYP,0.13093077374026654
138,1993,CZE,0.19818332162238675
139,1993,DEU,0.11643604844932916
140,1993,DMA,0.4634617574222197
141,1993,DNK,0.25185811579811207
142,1993,DZA,0.20003205248587827
143,1993,ECU,0.33740451446838116
144,1993,ESP,0.14445085590831996
145,1993,FIN,0.12435254977862352
146,1993,GAB,0.5142320587202208
147,1993,GBR,0.16100749214901341
148,1993,GRC,0.2555163784307749
149,1993,GRD,0.611164538707549
150,1993,GTM,0.7919169467688898
151,1993,HKG,0.16062081192470337
152,1993,HRV,0.18878470440339123
153,1993,HUN,0.2467372217717909
154,1993,IDN,0.18712154886359944
155,1993,IND,0.1286225215842198
156,1993,IRL,0.2139604195703105
157,1993,ISL,0.15322516559436505
158,1993,JAM,0.6725711538756983
159,1993,JPN,0.16188565249986991
160,1993,KNA,0.9983152569892959
161,1993,KOR,0.5645147105079862
162,1993,LCA,0.4118063802571708
163,1993,LKA,0.2609346688088352
164,1993,MAC,0.9635434074579196
165,1993,MAR,0.2860148905788122
166,1993,MDG,0.35452555560532756
167,1993,MEX,0.8373101177185923
168,1993,MUS,0.15178397850164155
169,1993,MYS,0.2754145087633491
170,1993,NIC,0.4466521183073452
171,1993,NLD,0.5846471627608367
172,1993,NOR,0.11117131909143287
173,1993,NZL,0.1741403901139966
174,1993,OMN,0.5366389023649676
175,1993,PRT,0.2849749032697744
176,1993,PRY,0.599623936804631
177,1993,ROU,0.36583721744034475
178,1993,SAU,0.23612077657779718
179,1993,SGP,0.28362187723943466
180,1993,SWE,0.17122963180420672
181,1993,THA,0.3725643911159297
182,1993,TTO,0.3984478295140933
183,1993,TUN,0.14597650990575375
184,1993,TUR,0.20789402545087096
185,1993,USA,0.17179305154315747
186,1993,VCT,0.43557892453991753
187,1993,VUT,0.6632381299658272
188,1993,ZA1,0.10471120531960483
189,1994,ARG,0.18942402340559933
190,1994,AUS,0.12901722848158775
191,1994,AUT,0.15718976174887228
192,1994,BDI,0.45465829513171496
193,1994,BLZ,0.9757725792642602
194,1994,BOL,0.42564087016147373
195,1994,BRA,0.23669105512646987
196,1994,BRN,0.2869355384470262
197,1994,BTN,0.9262229402087638
198,1994,CAF,0.22348002586778537
199,1994,CAN,0.23203719686058108
200,1994,CHE,0.22087143317213329
201,1994,CHL,0.24230855791876008
202,1994,CHN,0.3614956684126325
203,1994,COG,0.24414091410621333
204,1994,COL,0.2023393877806841
205,1994,CRI,0.8117047546487305
206,1994,CYP,0.1242867277949014
207,1994,CZE,0.201420053928477
208,1994,DEU,0.1247981658650044
209,1994,DMA,0.7232790427051565
210,1994,DNK,0.15030709374969803
211,1994,DZA,0.24500093973788611
212,1994,ECU,0.4529770300687182
213,1994,EGY,0.1439643963167665
214,1994,ESP,0.15401566139588266
215,1994,FIN,0.1245491647468606
216,1994,FRA,0.13255342514928414
217,1994,GAB,0.5144002048454541
218,1994,GBR,0.1719390766213923
219,1994,GLP,0.39234377822621713
220,1994,GRC,0.2477112503655657
221,1994,GRD,0.6897798687209179
222,1994,GRL,0.7109117576838401
223,1994,GTM,0.7773842357381332
