,importer,baseline_supply,imports_china,after_shock_imports,new_baseline_supply,absolute_loss,loss_percent,absolute_loss_100m,supply_concentration,vulnerability_type,china_share,china_loss,replacement,adjusted_loss,Region Name
81,MEX,5298398536.0,2398182007.0,1438909204.2,4339125733.2,959272802.8000002,0.18104957493895854,9.59,0.2480834746588277,Resilient,0.45262393734739625,0.1810495749389585,0.13613416730259786,0.04491540763636065,Americas
82,MKD,162677775.46,117109205.58,70265523.34799999,115834093.228,46843682.23200001,0.28795379147238315,0.47,0.5413755097539721,Highly vulnerable,0.7198844786809577,0.2879537914723831,0.1320626608284327,0.15589113064395038,Europe
83,MLT,12166560.333,4523289.59,2713973.7539999997,10357244.497000001,1809315.8359999992,0.1487121903380117,0.02,0.2399578960426815,Resilient,0.37178047584502943,0.14871219033801178,0.11302752602860369,0.03568466430940809,Europe
84,MMR,127298043.246,106453972.386,63872383.431600004,84716454.2916,42581588.9544,0.33450309108139425,0.43,0.72534733029217,Highly vulnerable,0.8362577277034856,0.33450309108139425,0.09187216699102635,0.2426309240903679,Asia
85,MNE,20776784.864,15338311.107,9202986.6642,14641460.4212,6135324.4428,0.29529710602291964,0.06,0.5832105217189124,Highly vulnerable,0.7382427650572991,0.29529710602291964,0.12307672675720768,0.17222037926571196,Europe
86,MOZ,22880094.900000002,19425300.0,11655180.0,15109974.900000002,7770120.0,0.3396017382777551,0.08,0.7261397113509315,Highly vulnerable,0.8490043456943878,0.33960173827775514,0.09300343007047145,0.24659830820728368,Africa
87,MRT,14105733.677,12509785.064,7505871.038399999,9101819.6514,5003914.025599999,0.3547432654112203,0.05,0.7888068034745281,Highly vulnerable,0.8868581635280508,0.35474326541122037,0.07491936416807948,0.2798239012431409,Africa
88,MSR,84043.999,28183.196,16909.9176,72770.7206,11273.278399999996,0.13413543541639417,0.0,0.5056880400149756,Resilient,0.3353385885409855,0.13413543541639422,0.06630474998412249,0.06783068543227173,Americas
89,MUS,11951328.291,8456429.9,5073857.94,8568756.331,3382571.959999999,0.28302895524569094,0.03,0.5201660107377061,China dependent,0.7075723881142276,0.28302895524569105,0.13580691267227918,0.14722204257341187,Africa
90,MWI,8468065.763,6031825.513,3619095.3078,6055335.5578000005,2412730.2051999997,0.28492105195286493,0.02,0.5217578114935191,China dependent,0.7123026298821624,0.284921051952865,0.1362612674375069,0.14865978451535808,Africa
91,MYS,7344147256.688,1618244232.9229999,970946539.7537999,6696849563.518799,647297693.1692009,0.08813789682385993,6.47,0.1456986501658533,Resilient,0.22034474205964952,0.08813789682385981,0.07529632422816619,0.012841572595693615,Asia
92,NAM,78597288.81300001,69570488.491,41742293.0946,50769093.41660001,27828195.396399997,0.3540605002624112,0.28,0.7915444562439594,Highly vulnerable,0.885151250656028,0.3540605002624112,0.07380587410473667,0.28025462615767455,Africa
93,NER,9258162.671,7174189.865,4304513.919,6388486.725,2869675.9460000005,0.3099617114083435,0.03,0.613457132021726,Highly vulnerable,0.7749042785208586,0.3099617114083435,0.11981348889123518,0.19014822251710833,Africa
94,NGA,611950255.598,534631328.868,320778797.32079995,398097724.0508,213852531.54720002,0.34946064584648723,2.14,0.7655309605628151,Highly vulnerable,0.8736516146162179,0.3494606458464872,0.08193770195272411,0.2675229438937631,Africa
95,NIC,10705847.3,10233073.9,6139844.34,6612617.74,4093229.5600000005,0.38233588106566774,0.04,0.9139048493758695,Highly vulnerable,0.9558397026641693,0.38233588106566774,0.03291726526935832,0.3494186157963094,Americas
96,NLD,2523559320.43,1653827132.333,992296279.3998,1862028467.4968,661530852.9331999,0.26214198635143593,6.62,0.4457605215344074,Resilient,0.6553549658785899,0.262141986351436,0.14528943779935438,0.1168525485520816,Europe
97,NOR,118329460.16,30828300.308,18496980.1848,105998140.0368,12331320.1232,0.10421175002848927,0.12,0.1936067274661404,Resilient,0.26052937507122315,0.10421175002848926,0.08403565414195399,0.020176095886535267,Europe
98,NZL,96010390.266,80146647.934,48087988.7604,63951731.0924,32058659.173600003,0.33390822685732674,0.32,0.6991851868671349,Highly vulnerable,0.8347705671433168,0.33390822685732674,0.10044454086561307,0.2334636859917137,Oceania
99,OMN,583133991.2870001,569923328.107,341953996.8642,355164660.04420006,227969331.2428,0.3909381628391488,2.28,0.9555335519122629,Highly vulnerable,0.977345407097872,0.39093816283914884,0.017383631523402342,0.3735545313157465,Asia
